"name","Cup116m_Mean","Cup116m_Stdv","Cup116m_Min","Cup116m_Max","Cup114m_Mean","Cup114m_Stdv","Cup114m_Min","Cup114m_Max","Cup100m_Mean","Cup100m_Stdv","Cup100m_Min","Cup100m_Max","Vane100m_Mean","Vane100m_Stdv","Vane100m_Min","Vane100m_Max","Temp100m_Mean","Temp100m_Stdv","Temp100m_Min","Temp100m_Max","Sonic100m_Scalar_Mean","Sonic100m_Scalar_Stdv","Sonic100m_Scalar_Min","Sonic100m_Scalar_Max","Sonic100m_Dir","Sonic100m_Vector_Mean","Spd","Spd_stdv","Spd_min","Spd_max","Dir","Dir_stdv","W","W_stdv","Available","CNR","Broad"
"201510261030","8.10212","0.176672","7.46396","8.6339","7.84699","0.171031","7.11562","8.46562","7.6919","0.168473","7.07914","8.154","177.727","1.72835","169.443","182.662","9.54349","0.041612","9.43466","9.60632","5.98531","0.433426","4.47286","7.3857","179.544","5.97266","7.86","0.19","7.29","8.38","174.9","2.0234","0.02","0.09","100","-9.56508","1.07"
"201510261040","7.91349","0.18158","6.86912","8.44115","7.67177","0.182063","6.83337","8.23754","7.49236","0.242783","6.56167","8.22803","172.372","3.24672","156.977","178.081","9.49079","0.0780124","9.34311","9.61281","6.11215","0.322731","4.71839","7.71318","173.021","6.09864","7.64","0.29","6.62","8.33","170","2.39357",\N,"0.15","100","-9.5389","1.08"
"201510261050","7.84214","0.238437","6.45983","8.908","7.61622","0.231342","6.26547","8.4829","7.39242","0.295964","6.13457","8.36684","168.67","3.35716","155.55","178.727","9.4098","0.03702","9.3246","9.49245","6.16067","0.364093","4.45533","8.26541","169.622","6.14473","7.59","0.29","6.51","8.55","166.1","2.49545","-0.02","0.18","100","-9.66261","1.09"
"201510261100","7.94994","0.200678","6.6653","8.5769","7.72796","0.205973","6.5286","8.49331","7.65097","0.285926","6.43989","8.68842","168.656","2.7048","157.178","174.881","9.34236","0.0235883","9.2897","9.41711","6.37589","0.350807","4.61486","9.55443","169.786","6.3627","7.88","0.32","6.48","8.73","166.7","1.98894","-0.04","0.15","100","-9.89806","1.09"
"201510261110","8.05441","0.190672","7.46131","8.65548","7.85534","0.196136","6.92333","8.57396","7.67429","0.342067","6.5172","8.55256","166.956","2.1774","157.084","174.532","9.41209","0.0249596","9.34311","9.45507","6.3652","0.389383","4.7708","8.35539","167.802","6.35495","7.86","0.39","6.59","8.79","164.5","2.43375","-0.04","0.15","100","-10.0291","1.09"
"201510261120","8.13794","0.242028","7.21515","8.87371","7.95416","0.242582","7.02751","8.76222","7.89182","0.302722","6.77634","8.88548","166.108","2.40328","157.498","171.838","9.46844","0.0385883","9.4173","9.55597","6.60283","0.440059","4.57194","8.73266","166.817","6.58977","8.1","0.37","6.99","9.02","164.1","2.17195","-0.05","0.19","100","-10.1306","1.1"
"201510261130","8.58927","0.274304","7.56362","9.43981","8.40247","0.290613","7.02986","9.25564","8.21927","0.366825","6.89374","9.16637","167.254","2.64569","156.621","175.727","9.59464","0.0520337","9.51095","9.69406","6.81608","0.423783","4.43776","8.89481","168.334","6.80237","8.38","0.4","7.08","9.44","165.5","2.52541","-0.02","0.16","100","-10.2597","1.09"
"201510261140","8.69536","0.278039","7.4507","9.51365","8.49363","0.286832","7.37078","9.44814","8.20175","0.38898","6.68409","9.07603","166.464","2.82457","153.342","176.301","9.69388","0.0267428","9.64065","9.76158","6.85697","0.482192","4.8855","8.87189","167.398","6.84151","8.42","0.41","6.93","9.34","164.8","2.60874",\N,"0.21","100","-10.4126","1.1"
"201510261150","8.4859","0.422055","7.02482","10.2612","8.24416","0.428358","6.75229","9.9038","7.94077","0.550171","5.81639","9.57128","167.51","3.56271","152.983","179.391","9.85247","0.0592034","9.73507","9.93458","6.65514","0.632882","3.80447","9.28036","168.699","6.63406","8.02","0.59","6.23","9.49","165.9","3.74824",\N,"0.27","100","-10.5992","1.12"
"201510261200","8.63307","0.283033","7.58003","9.62441","8.42415","0.28907","7.32439","9.31401","8.23666","0.318181","6.81795","9.02859","169.021","1.80079","161.941","177.687","10.0605","0.0930229","9.9115","10.1923","6.7996","0.353181","5.43323","8.08398","170.555","6.79257","8.45","0.3","7.58","9.21","167.5","1.53289","0.03","0.13","100","-10.7675","1.1"
"201510261210","8.27822","0.275815","7.19539","9.2006","8.06456","0.280461","6.96462","9.0079","7.9368","0.310062","6.73955","8.74327","172.671","2.70677","163.63","185.698","10.22","0.0614927","10.1236","10.3942","6.46865","0.368634","4.65182","8.04699","173.769","6.45741","8.16","0.31","6.78","9.24","170.4","2.75139",\N,"0.13","100","-10.8412","1.11"
"201510261220","7.76943","0.279979","6.99682","8.69168","7.56359","0.277283","6.88706","8.60951","7.5367","0.223056","6.87575","8.32669","177.742","2.31588","169.372","186.962","10.4601","0.0493856","10.3775","10.5705","5.93042","0.473852","4.19011","7.6826","179.791","5.91214","7.79","0.24","7.12","8.71","175.1","2.21867","-0.06","0.14","100","-10.9037","1.11"
"201510261230","7.89405","0.345521","6.87809","8.87371","7.68691","0.338158","6.69223","8.65259","7.74306","0.318965","6.91636","8.71393","177.462","2.63998","169.374","188.923","10.5044","0.0314699","10.4684","10.5791","6.15013","0.5854","4.40093","8.45698","179.502","6.12939","7.96","0.37","6.96","8.82","175.4","2.58966","-0.04","0.14","100","-10.5071","1.13"
"201510261240","7.91995","0.322329","6.92553","8.86992","7.70996","0.316276","6.67527","8.68882","7.7403","0.30628","6.86455","8.76172","180.923","2.13152","175.591","188.19","10.5906","0.0277525","10.5289","10.6207","6.51371","0.667168","4.29418","8.34774","184.606","6.49899","7.99","0.34","5.49","8.87","179.1","3.38724","-0.04","0.11","100","-10.3879","1.13"
"201510261250","8.09925","0.43027","6.97135","9.34178","7.87705","0.425117","6.67105","8.9747","7.87635","0.410675","6.83119","9.09595","183.731","2.69192","173.582","192.516","10.6223","0.012386","10.5987","10.6676","7.4169","0.776774","4.23625","9.429","186.792","7.40794","8.17","0.46","6.77","10.09","181.5","2.87031","-0.03","0.21","100","-10.2065","1.14"
"201510261300","8.23733","0.314685","7.24","9.15991","8.01182","0.316986","7.02281","9.04921","8.0579","0.33089","7.15866","9.15219","182.628","1.895","175.793","188.135","10.6461","0.0209109","10.5852","10.6716","7.31079","0.654332","4.49288","9.08771","186.441","7.30129","8.33","0.39","7.39","10.42","180.6","2.08218","-0.07","0.15","100","-9.87423","1.13"
"201510261310","7.59608","0.572457","6.18321","9.08759","7.38501","0.576723","5.92105","8.79194","7.35703","0.658096","5.86433","8.7914","181.457","3.09749","173.243","190.072","10.592","0.0306528","10.5447","10.6329","6.39594","1.0154","3.72941","8.70964","184.959","6.37716","7.6","0.66","6.09","9.38","179.3","2.88431","-0.18","0.16","100","-9.75363","1.15"
"201510261320","7.33867","0.297262","6.46969","8.24399","7.11934","0.28531","6.35198","7.91514","7.06441","0.259379","6.29083","7.81227","183.299","2.61065","174.602","190.46","10.6025","0.0218608","10.5568","10.6332","6.54196","0.734859","4.13059","8.21619","186.75","6.53251","7.3","0.27","6.57","8.13","180.9","2.60965","-0.15","0.13","100","-9.81816","1.15"
